"DATE","HEURE","pH_BC","Température_BC","Conductivité_BC","TDS_BC","Turbidité_BC","Ph_O_DE_A","Température_O_DE_A","Conductivité_O_DE_A","TDS_O_DE_A","Turbidité_O_DE_A","Ph_O_DE_B","Température_O_DE_B","Conductivité_O_DE_B","TDS_O_DE_B","Turbidité_O_DE_B","Ph_O_SF_A","Température_O_SF_A","Conductivité_O_SF_A","TDS_O_SF_A","Turbidité_O_SF_A","Ph_O_SF_B","Température_O_SF_B","Conductivité_O_SF_B","TDS_O_SF_B","Turbidité_O_SF_B","Ph_O_CF_A","Température_O_CF_A","Conductivité_O_CF_A","TDS_O_CF_A","Turbidité_O_CF_A","Ph_O_CF_B","Température_O_CF_B","Conductivité_O_CF_B","TDS_O_CF_B","Turbidité_O_CF_B","Ph_O_RO","Température_O_RO","Conductivité_O_RO","TDS_O_RO","Turbidité_O_RO","Ph_O_EX","Température_O_EX","Conductivité_O_EX","TDS_O_EX","Chlore libre_O_EX","Turbidité_O_EX"
"1/01/2024","8h00",8.27,16.7,55,33,0.57,8.22,16.9,55,33,0.13,8.22,16.9,55,3,0.16,8.12,17,55,33,0.03,8.17,17,55,33,0.04,8.1,17.9,55,33,0.02,8.1,17.9,55,33,0.03,6.8,18,244,122,0.01,7,18.6,290,145,1.1,0.01
"1/01/2024","10h30",8.25,16.5,55.1,33.06,0.36,8.21,16.6,55.1,33.06,0.12,8.21,16.5,55.1,33.06,0.17,8.12,16.9,55,33,0.01,8.12,16.9,55,33,0.02,8.1,17.2,55,33,0.01,8.1,17.2,55,33,0.02,6.88,17.9,240,120,0.01,7.05,18.6,287,143.5,,0.01
"1/01/2024","15h00",8.26,17.3,55,33,0.28,8.2,17.4,55,33,0.1,8.2,17.4,55,33,0.09,8.12,17.8,55,33,0.01,8.12,17.8,55,33,0.01,8.1,17.9,55,33,0.01,8.1,17.9,55,33,0.01,6.88,18.2,245,122.5,0.01,7.07,19.2,290,145,1.1,0.01
"2/01/2024","8h00",8.27,16,55,33,0.71,8.17,16.3,55,33,0.16,8.17,16,55,33,0.13,8.11,16.5,55,33,0.01,8.11,16.5,55,33,0.01,8.09,16.7,55,33,0.01,8.09,16.7,55,33,0.01,,,,,,6.99,17.7,309,154.5,1,0.01
"2/01/2024","10h30",8.24,16.8,55,33,0.98,8.2,17,55,33,0.49,8.2,17,55,33,0.25,8.17,17.2,55,33,0.01,8.17,17.2,55,33,0.01,8.09,17.6,55,33,0.01,8.09,17.6,55,33,0.01,,,,,,6.99,18.2,269,134.5,1,0.01
"2/01/2024","15h00",8.23,16.1,55,33,1.23,8.23,16.3,55,33,0.4,8.23,16.3,55,33,0.44,8.11,17,55,33,0.01,8.11,17,55,33,0.02,8.08,17.3,55,33,0.01,8.08,17.3,55,33,0.01,,,,,,6.94,18.9,278,139,1,0.01
"3/01/2024","8h00",8.24,16.8,54.7,32.82,0.98,8.17,16.9,54.7,32.82,0.2,8.24,16.8,54.7,32.82,0.18,8.17,17,54.7,32.82,0.01,8.24,17,54.7,32.82,0.01,8.05,18,54.7,32.82,0.01,8.05,18,54.7,32.82,0.01,,,,,,6.99,19,267,133.5,1,0.01
"3/01/2024","10h30",8.23,17.8,54.8,32.88,0.67,8.16,17.9,54.8,32.88,0.19,8.16,17.9,54.8,32.88,0.16,8.17,18,54.7,32.82,0.01,8.17,18,54.7,32.82,0.01,8.12,16.6,55.3,33.18,0.01,8.12,16.6,55.3,33.18,0.01,6.32,17.3,191.6,95.8,0.01,6.94,17.7,268,134,,0.01
"3/01/2024","15h00",8.21,16.6,54.6,32.76,1.14,8.16,17.7,55,33,0.25,8.16,17.7,55,33,0.2,8.17,17.4,55,33,0.01,8.17,17,55,33,0.01,8.15,17.2,55,33,0.01,8.15,17.2,55,33,0.01,6.23,17.6,238,119,0.01,6.9,18.2,268,133,1,0.01
"4/01/2024","8h00",8.21,16,55.1,33.06,0.45,8.18,16,55.1,33.06,0.21,8.16,16.1,55.1,33.06,0.01,8.16,16.1,55.1,33.06,0.01,8.12,16.2,55.1,33.06,0.01,8.16,16.2,55.1,33.06,0.01,6.29,16.9,,,0.01,6.29,16.9,253,126.5,0.01,6.96,17.6,276,138,1,0.01
