time,depth,latitude,longitude,ph,dissic,day,distance_km
2024-02-01,0.49402538,36.25,2.5,,,2024-02-01,74.81033821417587
2024-02-01,0.49402538,36.25,2.75,,,2024-02-01,62.11983730345671
2024-02-01,0.49402538,36.25,3.0,,,2024-02-01,55.85557448584465
2024-02-01,0.49402538,36.25,3.25,,,2024-02-01,58.13350219663351
2024-02-01,0.49402538,36.25,3.5,,,2024-02-01,68.10175849678386
2024-02-01,0.49402538,36.25,3.75,,,2024-02-01,83.035373349154
2024-02-01,0.49402538,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,0.49402538,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,0.49402538,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,0.49402538,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,0.49402538,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,0.49402538,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,0.49402538,36.75,2.5,8.112339,2.2099583,2024-02-01,49.893335851721524
2024-02-01,0.49402538,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,0.49402538,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,0.49402538,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,0.49402538,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,0.49402538,36.75,3.75,,,2024-02-01,61.475673310100895
2024-02-01,0.49402538,37.0,2.5,8.110211,2.2142215,2024-02-01,57.043668759204486
2024-02-01,0.49402538,37.0,2.75,8.11023,2.217252,2024-02-01,39.154960218269906
2024-02-01,0.49402538,37.0,3.0,8.109213,2.216639,2024-02-01,28.306273869736685
2024-02-01,0.49402538,37.0,3.25,8.107783,2.2196052,2024-02-01,32.53286358811945
2024-02-01,0.49402538,37.0,3.5,8.10809,2.2234144,2024-02-01,48.00558097221438
2024-02-01,0.49402538,37.0,3.75,8.108844,2.2249584,2024-02-01,67.3771665595173
2024-02-01,0.49402538,37.25,2.5,8.109015,2.2129009,2024-02-01,74.59321055978846
2024-02-01,0.49402538,37.25,2.75,8.105394,2.2159672,2024-02-01,62.03979573410962
2024-02-01,0.49402538,37.25,3.0,8.100709,2.2125227,2024-02-01,55.85227782011057
2024-02-01,0.49402538,37.25,3.25,8.0992775,2.2113068,2024-02-01,58.10140704804029
2024-02-01,0.49402538,37.25,3.5,8.102095,2.2112563,2024-02-01,67.95457758570011
2024-02-01,0.49402538,37.25,3.75,8.104709,2.2112467,2024-02-01,82.73827358954384
2024-02-01,1.5413754,36.25,2.5,,,2024-02-01,74.81033821417587
2024-02-01,1.5413754,36.25,2.75,,,2024-02-01,62.11983730345671
2024-02-01,1.5413754,36.25,3.0,,,2024-02-01,55.85557448584465
2024-02-01,1.5413754,36.25,3.25,,,2024-02-01,58.13350219663351
2024-02-01,1.5413754,36.25,3.5,,,2024-02-01,68.10175849678386
2024-02-01,1.5413754,36.25,3.75,,,2024-02-01,83.035373349154
2024-02-01,1.5413754,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,1.5413754,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,1.5413754,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,1.5413754,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,1.5413754,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,1.5413754,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,1.5413754,36.75,2.5,8.112304,2.209967,2024-02-01,49.893335851721524
2024-02-01,1.5413754,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,1.5413754,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,1.5413754,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,1.5413754,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,1.5413754,36.75,3.75,,,2024-02-01,61.475673310100895
2024-02-01,1.5413754,37.0,2.5,8.110274,2.2142065,2024-02-01,57.043668759204486
2024-02-01,1.5413754,37.0,2.75,8.110293,2.2172468,2024-02-01,39.154960218269906
2024-02-01,1.5413754,37.0,3.0,8.10925,2.2166433,2024-02-01,28.306273869736685
2024-02-01,1.5413754,37.0,3.25,8.107826,2.2195444,2024-02-01,32.53286358811945
2024-02-01,1.5413754,37.0,3.5,8.108133,2.2233124,2024-02-01,48.00558097221438
2024-02-01,1.5413754,37.0,3.75,8.108913,2.224834,2024-02-01,67.3771665595173
2024-02-01,1.5413754,37.25,2.5,8.108969,2.2128851,2024-02-01,74.59321055978846
2024-02-01,1.5413754,37.25,2.75,8.105348,2.2159557,2024-02-01,62.03979573410962
2024-02-01,1.5413754,37.25,3.0,8.100652,2.2125118,2024-02-01,55.85227782011057
2024-02-01,1.5413754,37.25,3.25,8.099235,2.2112956,2024-02-01,58.10140704804029
2024-02-01,1.5413754,37.25,3.5,8.1020775,2.2112439,2024-02-01,67.95457758570011
2024-02-01,1.5413754,37.25,3.75,8.104704,2.2112315,2024-02-01,82.73827358954384
2024-02-01,2.6456685,36.25,2.5,,,2024-02-01,74.81033821417587
2024-02-01,2.6456685,36.25,2.75,,,2024-02-01,62.11983730345671
2024-02-01,2.6456685,36.25,3.0,,,2024-02-01,55.85557448584465
2024-02-01,2.6456685,36.25,3.25,,,2024-02-01,58.13350219663351
2024-02-01,2.6456685,36.25,3.5,,,2024-02-01,68.10175849678386
2024-02-01,2.6456685,36.25,3.75,,,2024-02-01,83.035373349154
2024-02-01,2.6456685,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,2.6456685,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,2.6456685,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,2.6456685,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,2.6456685,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,2.6456685,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,2.6456685,36.75,2.5,8.112359,2.209973,2024-02-01,49.893335851721524
2024-02-01,2.6456685,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,2.6456685,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,2.6456685,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,2.6456685,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,2.6456685,36.75,3.75,,,2024-02-01,61.475673310100895
2024-02-01,2.6456685,37.0,2.5,8.110357,2.214191,2024-02-01,57.043668759204486
2024-02-01,2.6456685,37.0,2.75,8.110369,2.217243,2024-02-01,39.154960218269906
2024-02-01,2.6456685,37.0,3.0,8.109333,2.216647,2024-02-01,28.306273869736685
2024-02-01,2.6456685,37.0,3.25,8.10794,2.2194846,2024-02-01,32.53286358811945
2024-02-01,2.6456685,37.0,3.5,8.108246,2.22321,2024-02-01,48.00558097221438
2024-02-01,2.6456685,37.0,3.75,8.109022,2.2247224,2024-02-01,67.3771665595173
2024-02-01,2.6456685,37.25,2.5,8.108987,2.2128665,2024-02-01,74.59321055978846
2024-02-01,2.6456685,37.25,2.75,8.105375,2.2159457,2024-02-01,62.03979573410962
2024-02-01,2.6456685,37.25,3.0,8.100674,2.2125025,2024-02-01,55.85227782011057
2024-02-01,2.6456685,37.25,3.25,8.099269,2.2112863,2024-02-01,58.10140704804029
2024-02-01,2.6456685,37.25,3.5,8.102134,2.2112336,2024-02-01,67.95457758570011
2024-02-01,2.6456685,37.25,3.75,8.104766,2.2112188,2024-02-01,82.73827358954384
2024-02-01,3.8194947,36.25,2.5,,,2024-02-01,74.81033821417587
2024-02-01,3.8194947,36.25,2.75,,,2024-02-01,62.11983730345671
2024-02-01,3.8194947,36.25,3.0,,,2024-02-01,55.85557448584465
2024-02-01,3.8194947,36.25,3.25,,,2024-02-01,58.13350219663351
2024-02-01,3.8194947,36.25,3.5,,,2024-02-01,68.10175849678386
2024-02-01,3.8194947,36.25,3.75,,,2024-02-01,83.035373349154
2024-02-01,3.8194947,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,3.8194947,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,3.8194947,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,3.8194947,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,3.8194947,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,3.8194947,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,3.8194947,36.75,2.5,8.112416,2.2099786,2024-02-01,49.893335851721524
2024-02-01,3.8194947,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,3.8194947,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,3.8194947,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,3.8194947,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,3.8194947,36.75,3.75,,,2024-02-01,61.475673310100895
2024-02-01,3.8194947,37.0,2.5,8.110416,2.2141747,2024-02-01,57.043668759204486
