time,depth,latitude,longitude,o2,day,distance_km
2024-02-01,0.49402538,36.25,2.5,,2024-02-01,74.81033821417587
2024-02-01,0.49402538,36.25,2.75,,2024-02-01,62.11983730345671
2024-02-01,0.49402538,36.25,3.0,,2024-02-01,55.85557448584465
2024-02-01,0.49402538,36.25,3.25,,2024-02-01,58.13350219663351
2024-02-01,0.49402538,36.25,3.5,,2024-02-01,68.10175849678386
2024-02-01,0.49402538,36.25,3.75,,2024-02-01,83.035373349154
2024-02-01,0.49402538,36.5,2.5,,2024-02-01,57.18584711457668
2024-02-01,0.49402538,36.5,2.75,,2024-02-01,39.218630748632165
2024-02-01,0.49402538,36.5,3.0,,2024-02-01,28.309899066231292
2024-02-01,0.49402538,36.5,3.25,,2024-02-01,32.56184297337359
2024-02-01,0.49402538,36.5,3.5,,2024-02-01,48.109971773295804
2024-02-01,0.49402538,36.5,3.75,,2024-02-01,67.55982081549554
2024-02-01,0.49402538,36.75,2.5,248.83937,2024-02-01,49.893335851721524
2024-02-01,0.49402538,36.75,2.75,,2024-02-01,27.619548433415456
2024-02-01,0.49402538,36.75,3.0,,2024-02-01,5.345713953294998
2024-02-01,0.49402538,36.75,3.25,,2024-02-01,16.92811061876691
2024-02-01,0.49402538,36.75,3.5,,2024-02-01,39.201925363355656
2024-02-01,0.49402538,36.75,3.75,,2024-02-01,61.475673310100895
2024-02-01,0.49402538,37.0,2.5,247.97633,2024-02-01,57.043668759204486
2024-02-01,0.49402538,37.0,2.75,247.60619,2024-02-01,39.154960218269906
2024-02-01,0.49402538,37.0,3.0,247.76187,2024-02-01,28.306273869736685
2024-02-01,0.49402538,37.0,3.25,247.52835,2024-02-01,32.53286358811945
2024-02-01,0.49402538,37.0,3.5,247.41452,2024-02-01,48.00558097221438
2024-02-01,0.49402538,37.0,3.75,247.14142,2024-02-01,67.3771665595173
2024-02-01,0.49402538,37.25,2.5,247.37273,2024-02-01,74.59321055978846
2024-02-01,0.49402538,37.25,2.75,246.4085,2024-02-01,62.03979573410962
2024-02-01,0.49402538,37.25,3.0,246.23227,2024-02-01,55.85227782011057
2024-02-01,0.49402538,37.25,3.25,246.16766,2024-02-01,58.10140704804029
2024-02-01,0.49402538,37.25,3.5,246.51112,2024-02-01,67.95457758570011
2024-02-01,0.49402538,37.25,3.75,246.641,2024-02-01,82.73827358954384
2024-02-01,1.5413754,36.25,2.5,,2024-02-01,74.81033821417587
2024-02-01,1.5413754,36.25,2.75,,2024-02-01,62.11983730345671
2024-02-01,1.5413754,36.25,3.0,,2024-02-01,55.85557448584465
2024-02-01,1.5413754,36.25,3.25,,2024-02-01,58.13350219663351
2024-02-01,1.5413754,36.25,3.5,,2024-02-01,68.10175849678386
2024-02-01,1.5413754,36.25,3.75,,2024-02-01,83.035373349154
2024-02-01,1.5413754,36.5,2.5,,2024-02-01,57.18584711457668
2024-02-01,1.5413754,36.5,2.75,,2024-02-01,39.218630748632165
2024-02-01,1.5413754,36.5,3.0,,2024-02-01,28.309899066231292
2024-02-01,1.5413754,36.5,3.25,,2024-02-01,32.56184297337359
2024-02-01,1.5413754,36.5,3.5,,2024-02-01,48.109971773295804
2024-02-01,1.5413754,36.5,3.75,,2024-02-01,67.55982081549554
2024-02-01,1.5413754,36.75,2.5,248.84988,2024-02-01,49.893335851721524
2024-02-01,1.5413754,36.75,2.75,,2024-02-01,27.619548433415456
2024-02-01,1.5413754,36.75,3.0,,2024-02-01,5.345713953294998
2024-02-01,1.5413754,36.75,3.25,,2024-02-01,16.92811061876691
2024-02-01,1.5413754,36.75,3.5,,2024-02-01,39.201925363355656
2024-02-01,1.5413754,36.75,3.75,,2024-02-01,61.475673310100895
2024-02-01,1.5413754,37.0,2.5,247.98557,2024-02-01,57.043668759204486
2024-02-01,1.5413754,37.0,2.75,247.61365,2024-02-01,39.154960218269906
2024-02-01,1.5413754,37.0,3.0,247.76993,2024-02-01,28.306273869736685
2024-02-01,1.5413754,37.0,3.25,247.5368,2024-02-01,32.53286358811945
2024-02-01,1.5413754,37.0,3.5,247.42255,2024-02-01,48.00558097221438
2024-02-01,1.5413754,37.0,3.75,247.1482,2024-02-01,67.3771665595173
2024-02-01,1.5413754,37.25,2.5,247.3787,2024-02-01,74.59321055978846
2024-02-01,1.5413754,37.25,2.75,246.4138,2024-02-01,62.03979573410962
2024-02-01,1.5413754,37.25,3.0,246.23856,2024-02-01,55.85227782011057
2024-02-01,1.5413754,37.25,3.25,246.17355,2024-02-01,58.10140704804029
2024-02-01,1.5413754,37.25,3.5,246.51697,2024-02-01,67.95457758570011
2024-02-01,1.5413754,37.25,3.75,246.6473,2024-02-01,82.73827358954384
2024-02-01,2.6456685,36.25,2.5,,2024-02-01,74.81033821417587
2024-02-01,2.6456685,36.25,2.75,,2024-02-01,62.11983730345671
2024-02-01,2.6456685,36.25,3.0,,2024-02-01,55.85557448584465
2024-02-01,2.6456685,36.25,3.25,,2024-02-01,58.13350219663351
2024-02-01,2.6456685,36.25,3.5,,2024-02-01,68.10175849678386
2024-02-01,2.6456685,36.25,3.75,,2024-02-01,83.035373349154
2024-02-01,2.6456685,36.5,2.5,,2024-02-01,57.18584711457668
2024-02-01,2.6456685,36.5,2.75,,2024-02-01,39.218630748632165
2024-02-01,2.6456685,36.5,3.0,,2024-02-01,28.309899066231292
2024-02-01,2.6456685,36.5,3.25,,2024-02-01,32.56184297337359
2024-02-01,2.6456685,36.5,3.5,,2024-02-01,48.109971773295804
2024-02-01,2.6456685,36.5,3.75,,2024-02-01,67.55982081549554
2024-02-01,2.6456685,36.75,2.5,248.8559,2024-02-01,49.893335851721524
2024-02-01,2.6456685,36.75,2.75,,2024-02-01,27.619548433415456
2024-02-01,2.6456685,36.75,3.0,,2024-02-01,5.345713953294998
2024-02-01,2.6456685,36.75,3.25,,2024-02-01,16.92811061876691
2024-02-01,2.6456685,36.75,3.5,,2024-02-01,39.201925363355656
2024-02-01,2.6456685,36.75,3.75,,2024-02-01,61.475673310100895
2024-02-01,2.6456685,37.0,2.5,247.99164,2024-02-01,57.043668759204486
2024-02-01,2.6456685,37.0,2.75,247.61833,2024-02-01,39.154960218269906
2024-02-01,2.6456685,37.0,3.0,247.77544,2024-02-01,28.306273869736685
2024-02-01,2.6456685,37.0,3.25,247.54329,2024-02-01,32.53286358811945
2024-02-01,2.6456685,37.0,3.5,247.42863,2024-02-01,48.00558097221438
2024-02-01,2.6456685,37.0,3.75,247.15294,2024-02-01,67.3771665595173
2024-02-01,2.6456685,37.25,2.5,247.38354,2024-02-01,74.59321055978846
2024-02-01,2.6456685,37.25,2.75,246.41827,2024-02-01,62.03979573410962
2024-02-01,2.6456685,37.25,3.0,246.24359,2024-02-01,55.85227782011057
2024-02-01,2.6456685,37.25,3.25,246.17772,2024-02-01,58.10140704804029
2024-02-01,2.6456685,37.25,3.5,246.52126,2024-02-01,67.95457758570011
2024-02-01,2.6456685,37.25,3.75,246.65233,2024-02-01,82.73827358954384
2024-02-01,3.8194947,36.25,2.5,,2024-02-01,74.81033821417587
2024-02-01,3.8194947,36.25,2.75,,2024-02-01,62.11983730345671
2024-02-01,3.8194947,36.25,3.0,,2024-02-01,55.85557448584465
2024-02-01,3.8194947,36.25,3.25,,2024-02-01,58.13350219663351
2024-02-01,3.8194947,36.25,3.5,,2024-02-01,68.10175849678386
2024-02-01,3.8194947,36.25,3.75,,2024-02-01,83.035373349154
2024-02-01,3.8194947,36.5,2.5,,2024-02-01,57.18584711457668
2024-02-01,3.8194947,36.5,2.75,,2024-02-01,39.218630748632165
2024-02-01,3.8194947,36.5,3.0,,2024-02-01,28.309899066231292
2024-02-01,3.8194947,36.5,3.25,,2024-02-01,32.56184297337359
2024-02-01,3.8194947,36.5,3.5,,2024-02-01,48.109971773295804
2024-02-01,3.8194947,36.5,3.75,,2024-02-01,67.55982081549554
2024-02-01,3.8194947,36.75,2.5,248.85973,2024-02-01,49.893335851721524
2024-02-01,3.8194947,36.75,2.75,,2024-02-01,27.619548433415456
2024-02-01,3.8194947,36.75,3.0,,2024-02-01,5.345713953294998
2024-02-01,3.8194947,36.75,3.25,,2024-02-01,16.92811061876691
2024-02-01,3.8194947,36.75,3.5,,2024-02-01,39.201925363355656
2024-02-01,3.8194947,36.75,3.75,,2024-02-01,61.475673310100895
2024-02-01,3.8194947,37.0,2.5,247.99577,2024-02-01,57.043668759204486
2024-02-01,3.8194947,37.0,2.75,247.62119,2024-02-01,39.154960218269906
2024-02-01,3.8194947,37.0,3.0,247.77867,2024-02-01,28.306273869736685
2024-02-01,3.8194947,37.0,3.25,247.54787,2024-02-01,32.53286358811945
2024-02-01,3.8194947,37.0,3.5,247.43318,2024-02-01,48.00558097221438
2024-02-01,3.8194947,37.0,3.75,247.15639,2024-02-01,67.3771665595173
2024-02-01,3.8194947,37.25,2.5,247.38712,2024-02-01,74.59321055978846
2024-02-01,3.8194947,37.25,2.75,246.42216,2024-02-01,62.03979573410962
2024-02-01,3.8194947,37.25,3.0,246.24796,2024-02-01,55.85227782011057
