time,depth,latitude,longitude,chl,phyc,day,distance_km
2024-02-01,0.49402538,36.25,2.5,,,2024-02-01,74.81033821417587
2024-02-01,0.49402538,36.25,2.75,,,2024-02-01,62.11983730345671
2024-02-01,0.49402538,36.25,3.0,,,2024-02-01,55.85557448584465
2024-02-01,0.49402538,36.25,3.25,,,2024-02-01,58.13350219663351
2024-02-01,0.49402538,36.25,3.5,,,2024-02-01,68.10175849678386
2024-02-01,0.49402538,36.25,3.75,,,2024-02-01,83.035373349154
2024-02-01,0.49402538,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,0.49402538,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,0.49402538,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,0.49402538,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,0.49402538,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,0.49402538,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,0.49402538,36.75,2.5,0.29481652,1.6975,2024-02-01,49.893335851721524
2024-02-01,0.49402538,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,0.49402538,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,0.49402538,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,0.49402538,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,0.49402538,36.75,3.75,,,2024-02-01,61.475673310100895
2024-02-01,0.49402538,37.0,2.5,0.31715268,1.828591,2024-02-01,57.043668759204486
2024-02-01,0.49402538,37.0,2.75,0.30051273,1.7698196,2024-02-01,39.154960218269906
2024-02-01,0.49402538,37.0,3.0,0.34036225,1.9481819,2024-02-01,28.306273869736685
2024-02-01,0.49402538,37.0,3.25,0.3486848,1.9788376,2024-02-01,32.53286358811945
2024-02-01,0.49402538,37.0,3.5,0.33565998,1.9375725,2024-02-01,48.00558097221438
2024-02-01,0.49402538,37.0,3.75,0.306198,1.8499099,2024-02-01,67.3771665595173
2024-02-01,0.49402538,37.25,2.5,0.33211827,1.8497429,2024-02-01,74.59321055978846
2024-02-01,0.49402538,37.25,2.75,0.309671,1.7064354,2024-02-01,62.03979573410962
2024-02-01,0.49402538,37.25,3.0,0.34719065,1.7668421,2024-02-01,55.85227782011057
2024-02-01,0.49402538,37.25,3.25,0.35478583,1.7574143,2024-02-01,58.10140704804029
2024-02-01,0.49402538,37.25,3.5,0.31544882,1.6921079,2024-02-01,67.95457758570011
2024-02-01,0.49402538,37.25,3.75,0.2699907,1.6229125,2024-02-01,82.73827358954384
2024-02-01,1.5413754,36.25,2.5,,,2024-02-01,74.81033821417587
2024-02-01,1.5413754,36.25,2.75,,,2024-02-01,62.11983730345671
2024-02-01,1.5413754,36.25,3.0,,,2024-02-01,55.85557448584465
2024-02-01,1.5413754,36.25,3.25,,,2024-02-01,58.13350219663351
2024-02-01,1.5413754,36.25,3.5,,,2024-02-01,68.10175849678386
2024-02-01,1.5413754,36.25,3.75,,,2024-02-01,83.035373349154
2024-02-01,1.5413754,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,1.5413754,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,1.5413754,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,1.5413754,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,1.5413754,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,1.5413754,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,1.5413754,36.75,2.5,0.2950573,1.6976477,2024-02-01,49.893335851721524
2024-02-01,1.5413754,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,1.5413754,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,1.5413754,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,1.5413754,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,1.5413754,36.75,3.75,,,2024-02-01,61.475673310100895
2024-02-01,1.5413754,37.0,2.5,0.31740654,1.8286115,2024-02-01,57.043668759204486
2024-02-01,1.5413754,37.0,2.75,0.30049026,1.7692391,2024-02-01,39.154960218269906
2024-02-01,1.5413754,37.0,3.0,0.34022844,1.947289,2024-02-01,28.306273869736685
2024-02-01,1.5413754,37.0,3.25,0.34859526,1.9780629,2024-02-01,32.53286358811945
2024-02-01,1.5413754,37.0,3.5,0.33559594,1.9369088,2024-02-01,48.00558097221438
2024-02-01,1.5413754,37.0,3.75,0.30612248,1.8492554,2024-02-01,67.3771665595173
2024-02-01,1.5413754,37.25,2.5,0.33232614,1.8498135,2024-02-01,74.59321055978846
2024-02-01,1.5413754,37.25,2.75,0.30973905,1.7063432,2024-02-01,62.03979573410962
2024-02-01,1.5413754,37.25,3.0,0.3472574,1.7668328,2024-02-01,55.85227782011057
2024-02-01,1.5413754,37.25,3.25,0.35489845,1.7574676,2024-02-01,58.10140704804029
2024-02-01,1.5413754,37.25,3.5,0.31554738,1.692146,2024-02-01,67.95457758570011
2024-02-01,1.5413754,37.25,3.75,0.2700364,1.6229326,2024-02-01,82.73827358954384
2024-02-01,2.6456685,36.25,2.5,,,2024-02-01,74.81033821417587
2024-02-01,2.6456685,36.25,2.75,,,2024-02-01,62.11983730345671
2024-02-01,2.6456685,36.25,3.0,,,2024-02-01,55.85557448584465
2024-02-01,2.6456685,36.25,3.25,,,2024-02-01,58.13350219663351
2024-02-01,2.6456685,36.25,3.5,,,2024-02-01,68.10175849678386
2024-02-01,2.6456685,36.25,3.75,,,2024-02-01,83.035373349154
2024-02-01,2.6456685,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,2.6456685,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,2.6456685,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,2.6456685,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,2.6456685,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,2.6456685,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,2.6456685,36.75,2.5,0.2954192,1.6978562,2024-02-01,49.893335851721524
2024-02-01,2.6456685,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,2.6456685,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,2.6456685,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,2.6456685,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,2.6456685,36.75,3.75,,,2024-02-01,61.475673310100895
2024-02-01,2.6456685,37.0,2.5,0.31783044,1.828615,2024-02-01,57.043668759204486
2024-02-01,2.6456685,37.0,2.75,0.3004645,1.7682284,2024-02-01,39.154960218269906
2024-02-01,2.6456685,37.0,3.0,0.33996224,1.9454743,2024-02-01,28.306273869736685
2024-02-01,2.6456685,37.0,3.25,0.34841722,1.9764012,2024-02-01,32.53286358811945
2024-02-01,2.6456685,37.0,3.5,0.33547902,1.9355584,2024-02-01,48.00558097221438
2024-02-01,2.6456685,37.0,3.75,0.30598477,1.8480383,2024-02-01,67.3771665595173
2024-02-01,2.6456685,37.25,2.5,0.33274904,1.8499402,2024-02-01,74.59321055978846
2024-02-01,2.6456685,37.25,2.75,0.30988437,1.7061683,2024-02-01,62.03979573410962
2024-02-01,2.6456685,37.25,3.0,0.34738785,1.766817,2024-02-01,55.85227782011057
2024-02-01,2.6456685,37.25,3.25,0.3551096,1.7575679,2024-02-01,58.10140704804029
2024-02-01,2.6456685,37.25,3.5,0.31572938,1.6922194,2024-02-01,67.95457758570011
2024-02-01,2.6456685,37.25,3.75,0.2701198,1.6229804,2024-02-01,82.73827358954384
2024-02-01,3.8194947,36.25,2.5,,,2024-02-01,74.81033821417587
2024-02-01,3.8194947,36.25,2.75,,,2024-02-01,62.11983730345671
2024-02-01,3.8194947,36.25,3.0,,,2024-02-01,55.85557448584465
2024-02-01,3.8194947,36.25,3.25,,,2024-02-01,58.13350219663351
2024-02-01,3.8194947,36.25,3.5,,,2024-02-01,68.10175849678386
2024-02-01,3.8194947,36.25,3.75,,,2024-02-01,83.035373349154
2024-02-01,3.8194947,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,3.8194947,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,3.8194947,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,3.8194947,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,3.8194947,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,3.8194947,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,3.8194947,36.75,2.5,0.2959207,1.6981207,2024-02-01,49.893335851721524
2024-02-01,3.8194947,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,3.8194947,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,3.8194947,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,3.8194947,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,3.8194947,36.75,3.75,,,2024-02-01,61.475673310100895
