time,latitude,longitude,zos,day,distance_km
2024-02-01,36.583336,2.8333435,,2024-02-01,27.42486183499686
2024-02-01,36.583336,2.9166718,,2024-02-01,22.513610945271516
2024-02-01,36.583336,3.0,,2024-02-01,19.289317853545782
2024-02-01,36.583336,3.0833435,,2024-02-01,18.648702135525184
2024-02-01,36.583336,3.1666718,,2024-02-01,20.831708919035847
2024-02-01,36.583336,3.25,,2024-02-01,25.112182506309033
2024-02-01,36.66667,2.8333435,,2024-02-01,22.228234819302035
2024-02-01,36.66667,2.9166718,,2024-02-01,15.782881420103022
2024-02-01,36.66667,3.0,,2024-02-01,10.698609465725811
2024-02-01,36.66667,3.0833435,,2024-02-01,9.496464669132697
2024-02-01,36.66667,3.1666718,,2024-02-01,13.276882967911245
2024-02-01,36.66667,3.25,,2024-02-01,19.306074472517334
2024-02-01,36.75,2.8333435,-0.30484232,2024-02-01,20.194040166169533
2024-02-01,36.75,2.9166718,,2024-02-01,12.76987826840439
2024-02-01,36.75,3.0,,2024-02-01,5.345713953294998
2024-02-01,36.75,3.0833435,-0.30466884,2024-02-01,2.079801567910821
2024-02-01,36.75,3.1666718,-0.3049058,2024-02-01,9.50394748445699
2024-02-01,36.75,3.25,,2024-02-01,16.92811061876691
2024-02-01,36.833336,2.8333435,-0.31138223,2024-02-01,22.20863381656194
2024-02-01,36.833336,2.9166718,-0.3091842,2024-02-01,15.772124592603511
2024-02-01,36.833336,3.0,-0.30881467,2024-02-01,10.696398658202174
2024-02-01,36.833336,3.0833435,-0.3107327,2024-02-01,9.496747682395155
2024-02-01,36.833336,3.1666718,-0.3136974,2024-02-01,13.270048906298761
2024-02-01,36.833336,3.25,-0.31596234,2024-02-01,19.290330362086166
2024-02-01,36.91667,2.8333435,-0.3222472,2024-02-01,27.393082527538727
2024-02-01,36.91667,2.9166718,-0.31910697,2024-02-01,22.49852861582144
2024-02-01,36.91667,3.0,-0.31716925,2024-02-01,19.286865452625985
2024-02-01,36.91667,3.0833435,-0.31867385,2024-02-01,18.648990373299995
2024-02-01,36.91667,3.1666718,-0.3226687,2024-02-01,20.82299777897512
2024-02-01,36.91667,3.25,-0.32681942,2024-02-01,25.08797191414032
2024-02-02,36.583336,2.8333435,,2024-02-02,27.42486183499686
2024-02-02,36.583336,2.9166718,,2024-02-02,22.513610945271516
2024-02-02,36.583336,3.0,,2024-02-02,19.289317853545782
2024-02-02,36.583336,3.0833435,,2024-02-02,18.648702135525184
2024-02-02,36.583336,3.1666718,,2024-02-02,20.831708919035847
2024-02-02,36.583336,3.25,,2024-02-02,25.112182506309033
2024-02-02,36.66667,2.8333435,,2024-02-02,22.228234819302035
2024-02-02,36.66667,2.9166718,,2024-02-02,15.782881420103022
2024-02-02,36.66667,3.0,,2024-02-02,10.698609465725811
2024-02-02,36.66667,3.0833435,,2024-02-02,9.496464669132697
2024-02-02,36.66667,3.1666718,,2024-02-02,13.276882967911245
2024-02-02,36.66667,3.25,,2024-02-02,19.306074472517334
2024-02-02,36.75,2.8333435,-0.30711585,2024-02-02,20.194040166169533
2024-02-02,36.75,2.9166718,,2024-02-02,12.76987826840439
2024-02-02,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,36.75,3.0833435,-0.30410248,2024-02-02,2.079801567910821
2024-02-02,36.75,3.1666718,-0.304104,2024-02-02,9.50394748445699
2024-02-02,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,36.833336,2.8333435,-0.30768082,2024-02-02,22.20863381656194
2024-02-02,36.833336,2.9166718,-0.30587247,2024-02-02,15.772124592603511
2024-02-02,36.833336,3.0,-0.30707082,2024-02-02,10.696398658202174
2024-02-02,36.833336,3.0833435,-0.30926457,2024-02-02,9.496747682395155
2024-02-02,36.833336,3.1666718,-0.31126478,2024-02-02,13.270048906298761
2024-02-02,36.833336,3.25,-0.31261024,2024-02-02,19.290330362086166
2024-02-02,36.91667,2.8333435,-0.31069455,2024-02-02,27.393082527538727
2024-02-02,36.91667,2.9166718,-0.30816862,2024-02-02,22.49852861582144
2024-02-02,36.91667,3.0,-0.31091407,2024-02-02,19.286865452625985
2024-02-02,36.91667,3.0833435,-0.31448764,2024-02-02,18.648990373299995
2024-02-02,36.91667,3.1666718,-0.31734276,2024-02-02,20.82299777897512
2024-02-02,36.91667,3.25,-0.32075408,2024-02-02,25.08797191414032
2024-02-03,36.583336,2.8333435,,2024-02-03,27.42486183499686
2024-02-03,36.583336,2.9166718,,2024-02-03,22.513610945271516
2024-02-03,36.583336,3.0,,2024-02-03,19.289317853545782
2024-02-03,36.583336,3.0833435,,2024-02-03,18.648702135525184
2024-02-03,36.583336,3.1666718,,2024-02-03,20.831708919035847
2024-02-03,36.583336,3.25,,2024-02-03,25.112182506309033
2024-02-03,36.66667,2.8333435,,2024-02-03,22.228234819302035
2024-02-03,36.66667,2.9166718,,2024-02-03,15.782881420103022
2024-02-03,36.66667,3.0,,2024-02-03,10.698609465725811
2024-02-03,36.66667,3.0833435,,2024-02-03,9.496464669132697
2024-02-03,36.66667,3.1666718,,2024-02-03,13.276882967911245
2024-02-03,36.66667,3.25,,2024-02-03,19.306074472517334
2024-02-03,36.75,2.8333435,-0.3307317,2024-02-03,20.194040166169533
2024-02-03,36.75,2.9166718,,2024-02-03,12.76987826840439
